"¿Con qué frecuencia compras camisetas para la temporada de verano?","¿Qué estilo de camiseta prefieres usar en verano?","En una escala del 1 al 5, donde 1 es 'Nada importante' y 5 es 'Extremadamente importante', ¿qué tan importante es para ti la calidad del material de la camiseta?","¿Cuál es tu tipo de corte de camiseta preferido para el verano?","¿Cuál es tu rango de precio ideal para una camiseta de verano?","¿Qué tipo de colores prefieres para las camisetas de verano?","En una escala del 1 al 5, donde 1 es 'Nada importante' y 5 es 'Extremadamente importante', ¿qué tan importante es para ti que las camisetas sean amigables con el medio ambiente?","¿Con qué frecuencia te influencian las tendencias de moda al comprar camisetas de verano?","En una escala del 1 al 5, donde 1 es 'Nada atractivo' y 5 es 'Muy atractivo', ¿qué tan atractivo te resulta comprar camisetas de verano en línea?","¿Qué te motiva más a comprar camisetas de verano?","¿Hay algún otro aspecto que consideres importante al comprar camisetas de verano que no hemos mencionado en esta encuesta? Por favor, compártelo con nosotros."
"Muy frecuentemente","Camiseta básica (un solo color, sin estampados)","5","Regular fit","$20 - $30","Colores claros (blanco, beige, pasteles)","5","Muy frecuentemente","5","La calidad del material","Me gusta que las camisetas tengan protección UV."
"Raramente","Camiseta con estampados gráficos","3","Slim fit","Menos de $10","Colores neutros (gris, negro, azul marino)","2","Raramente","3","El precio","No."
"Ocasionalmente","Camiseta con diseños minimalistas","4","Oversized","$20 - $30","Colores brillantes (amarillo, naranja, verde)","4","Ocasionalmente","4","El diseño","Prefiero que no se decoloren con el tiempo."
"Frecuentemente","Camiseta con mensajes o frases","3","Crop top","$10 - $20","Colores oscuros (negro, marrón)","3","Frecuentemente","4","El precio","No."
"Frecuentemente","Camiseta con estampados gráficos","5","Regular fit","$20 - $30","Colores brillantes (amarillo, naranja, verde)","5","Frecuentemente","5","El diseño","Me gustan los diseños que sean únicos."
"Ocasionalmente","Camiseta básica (un solo color, sin estampados)","2","Slim fit","$10 - $20","Colores neutros (gris, negro, azul marino)","2","Raramente","3","El precio","Me gusta que las camisetas sean de materiales suaves."
"Frecuentemente","Camiseta con estampados gráficos","4","Regular fit","$10 - $20","Colores claros (blanco, beige, pasteles)","4","Frecuentemente","5","El diseño","No."
"Raramente","Camiseta básica (un solo color, sin estampados)","3","Slim fit","Menos de $10","Colores neutros (gris, negro, azul marino)","3","Raramente","3","El precio","Prefiero que las camisetas sean de algodón."
"Ocasionalmente","Camiseta con diseños minimalistas","5","Oversized","$20 - $30","Colores brillantes (amarillo, naranja, verde)","5","Ocasionalmente","4","La calidad del material","Las camisetas deben ser duraderas."
"Frecuentemente","Camiseta con mensajes o frases","4","Crop top","$10 - $20","Colores oscuros (negro, marrón)","3","Frecuentemente","4","La sostenibilidad del producto","Prefiero que sean de producción local."
"Muy frecuentemente","Camiseta básica (un solo color, sin estampados)","5","Regular fit","$20 - $30","Colores claros (blanco, beige, pasteles)","5","Muy frecuentemente","5","La calidad del material","Me gusta que las camisetas tengan protección UV."
"Raramente","Camiseta con estampados gráficos","3","Slim fit","Menos de $10","Colores neutros (gris, negro, azul marino)","2","Raramente","3","El precio","No."
"Ocasionalmente","Camiseta con diseños minimalistas","4","Oversized","$20 - $30","Colores brillantes (amarillo, naranja, verde)","4","Ocasionalmente","4","El diseño","Prefiero que no se decoloren con el tiempo."
"Frecuentemente","Camiseta con mensajes o frases","3","Crop top","$10 - $20","Colores oscuros (negro, marrón)","3","Frecuentemente","4","El precio","No."
"Frecuentemente","Camiseta con estampados gráficos","5","Regular fit","$20 - $30","Colores brillantes (amarillo, naranja, verde)","5","Frecuentemente","5","El diseño","Me gustan los diseños que sean únicos."
"Ocasionalmente","Camiseta básica (un solo color, sin estampados)","2","Slim fit","$10 - $20","Colores neutros (gris, negro, azul marino)","2","Raramente","3","El precio","Me gusta que las camisetas sean de materiales suaves."
"Frecuentemente","Camiseta con estampados gráficos","4","Regular fit","$10 - $20","Colores claros (blanco, beige, pasteles)","4","Frecuentemente","5","El diseño","No."
"Raramente","Camiseta básica (un solo color, sin estampados)","3","Slim fit","Menos de $10","Colores neutros (gris, negro, azul marino)","3","Raramente","3","El precio","Prefiero que las camisetas sean de algodón."
"Ocasionalmente","Camiseta con diseños minimalistas","5","Oversized","$20 - $30","Colores brillantes (amarillo, naranja, verde)","5","Ocasionalmente","4","La calidad del material","Las camisetas deben ser duraderas."
"Frecuentemente","Camiseta con mensajes o frases","4","Crop top","$10 - $20","Colores oscuros (negro, marrón)","3","Frecuentemente","4","La sostenibilidad del producto","Prefiero que sean de producción local."
"Muy frecuentemente","Camiseta básica (un solo color, sin estampados)","5","Regular fit","$20 - $30","Colores claros (blanco, beige, pasteles)","5","Muy frecuentemente","5","La calidad del material","Me gusta que las camisetas tengan protección UV."
"Raramente","Camiseta con estampados gráficos","3","Slim fit","Menos de $10","Colores neutros (gris, negro, azul marino)","2","Raramente","3","El precio","No."
"Ocasionalmente","Camiseta con diseños minimalistas","4","Oversized","$20 - $30","Colores brillantes (amarillo, naranja, verde)","4","Ocasionalmente","4","El diseño","Prefiero que no se decoloren con el tiempo."
"Frecuentemente","Camiseta con mensajes o frases","3","Crop top","$10 - $20","Colores oscuros (negro, marrón)","3","Frecuentemente","4","El precio","No."
"Frecuentemente","Camiseta con estampados gráficos","5","Regular fit","$20 - $30","Colores brillantes (amarillo, naranja, verde)","5","Frecuentemente","5","El diseño","Me gustan los diseños que sean únicos."
"Ocasionalmente","Camiseta básica (un solo color, sin estampados)","2","Slim fit","$10 - $20","Colores neutros (gris, negro, azul marino)","2","Raramente","3","El precio","Me gusta que las camisetas sean de materiales suaves."
"Frecuentemente","Camiseta con estampados gráficos","4","Regular fit","$10 - $20","Colores claros (blanco, beige, pasteles)","4","Frecuentemente","5","El diseño","No."
"Raramente","Camiseta básica (un solo color, sin estampados)","3","Slim fit","Menos de $10","Colores neutros (gris, negro, azul marino)","3","Raramente","3","El precio","Prefiero que las camisetas sean de algodón."
"Ocasionalmente","Camiseta con diseños minimalistas","5","Oversized","$20 - $30","Colores brillantes (amarillo, naranja, verde)","5","Ocasionalmente","4","La calidad del material","Las camisetas deben ser duraderas."
"Frecuentemente","Camiseta con mensajes o frases","4","Crop top","$10 - $20","Colores oscuros (negro, marrón)","3","Frecuentemente","4","La sostenibilidad del producto","Prefiero que sean de producción local."
"Muy frecuentemente","Camiseta básica (un solo color, sin estampados)","5","Regular fit","$20 - $30","Colores claros (blanco, beige, pasteles)","5","Muy frecuentemente","5","La calidad del material","Me gusta que las camisetas tengan protección UV."
"Raramente","Camiseta con estampados gráficos","3","Slim fit","Menos de $10","Colores neutros (gris, negro, azul marino)","2","Raramente","3","El precio","No."
"Ocasionalmente","Camiseta con diseños minimalistas","4","Oversized","$20 - $30","Colores brillantes (amarillo, naranja, verde)","4","Ocasionalmente","4","El diseño","Prefiero que no se decoloren con el tiempo."
"Frecuentemente","Camiseta con mensajes o frases","3","Crop top","$10 - $20","Colores oscuros (negro, marrón)","3","Frecuentemente","4","El precio","No."
"Frecuentemente","Camiseta con estampados gráficos","5","Regular fit","$20 - $30","Colores brillantes (amarillo, naranja, verde)","5","Frecuentemente","5","El diseño","Me gustan los diseños que sean únicos."
"Ocasionalmente","Camiseta básica (un solo color, sin estampados)","2","Slim fit","$10 - $20","Colores neutros (gris, negro, azul marino)","2","Raramente","3","El precio","Me gusta que las camisetas sean de materiales suaves."
"Frecuentemente","Camiseta con estampados gráficos","4","Regular fit","$10 - $20","Colores claros (blanco, beige, pasteles)","4","Frecuentemente","5","El diseño","No."
"Raramente","Camiseta básica (un solo color, sin estampados)","3","Slim fit","Menos de $10","Colores neutros (gris, negro, azul marino)","3","Raramente","3","El precio","Prefiero que las camisetas sean de algodón."
"Ocasionalmente","Camiseta con diseños minimalistas","5","Oversized","$20 - $30","Colores brillantes (amarillo, naranja, verde)","5","Ocasionalmente","4","La calidad del material","Las camisetas deben ser duraderas."
"Frecuentemente","Camiseta con mensajes o frases","4","Crop top","$10 - $20","Colores oscuros (negro, marrón)","3","Frecuentemente","4","La sostenibilidad del producto","Prefiero que sean de producción local."
"Muy frecuentemente","Camiseta básica (un solo color, sin estampados)","5","Regular fit","$20 - $30","Colores claros (blanco, beige, pasteles)","5","Muy frecuentemente","5","La calidad del material","Me gusta que las camisetas tengan protección UV."
"Raramente","Camiseta con estampados gráficos","3","Slim fit","Menos de $10","Colores neutros (gris, negro, azul marino)","2","Raramente","3","El precio","No."
"Ocasionalmente","Camiseta con diseños minimalistas","4","Oversized","$20 - $30","Colores brillantes (amarillo, naranja, verde)","4","Ocasionalmente","4","El diseño","Prefiero que no se decoloren con el tiempo."
"Frecuentemente","Camiseta con mensajes o frases","3","Crop top","$10 - $20","Colores oscuros (negro, marrón)","3","Frecuentemente","4","El precio","No."
"Frecuentemente","Camiseta con estampados gráficos","5","Regular fit","$20 - $30","Colores brillantes (amarillo, naranja, verde)","5","Frecuentemente","5","El diseño","Me gustan los diseños que sean únicos."
"Ocasionalmente","Camiseta básica (un solo color, sin estampados)","2","Slim fit","$10 - $20","Colores neutros (gris, negro, azul marino)","2","Raramente","3","El precio","Me gusta que las camisetas sean de materiales suaves."
"Frecuentemente","Camiseta con estampados gráficos","4","Regular fit","$10 - $20","Colores claros (blanco, beige, pasteles)","4","Frecuentemente","5","El diseño","No."
"Raramente","Camiseta básica (un solo color, sin estampados)","3","Slim fit","Menos de $10","Colores neutros (gris, negro, azul marino)","3","Raramente","3","El precio","Prefiero que las camisetas sean de algodón."
"Ocasionalmente","Camiseta con diseños minimalistas","5","Oversized","$20 - $30","Colores brillantes (amarillo, naranja, verde)","5","Ocasionalmente","4","La calidad del material","Las camisetas deben ser duraderas."
"Frecuentemente","Camiseta con mensajes o frases","4","Crop top","$10 - $20","Colores oscuros (negro, marrón)","3","Frecuentemente","4","La sostenibilidad del producto","Prefiero que sean de producción local."
"Muy frecuentemente","Camiseta básica (un solo color, sin estampados)","5","Regular fit","$20 - $30","Colores claros (blanco, beige, pasteles)","5","Muy frecuentemente","5","La calidad del material","Me gusta que las camisetas tengan protección UV."
"Raramente","Camiseta con estampados gráficos","3","Slim fit","Menos de $10","Colores neutros (gris, negro, azul marino)","2","Raramente","3","El precio","No."
"Ocasionalmente","Camiseta con diseños minimalistas","4","Oversized","$20 - $30","Colores brillantes (amarillo, naranja, verde)","4","Ocasionalmente","4","El diseño","Prefiero que no se decoloren con el tiempo."
"Frecuentemente","Camiseta con mensajes o frases","3","Crop top","$10 - $20","Colores oscuros (negro, marrón)","3","Frecuentemente","4","El precio","No."
"Frecuentemente","Camiseta con estampados gráficos","5","Regular fit","$20 - $30","Colores brillantes (amarillo, naranja, verde)","5","Frecuentemente","5","El diseño","Me gustan los diseños que sean únicos."
"Ocasionalmente","Camiseta básica (un solo color, sin estampados)","2","Slim fit","$10 - $20","Colores neutros (gris, negro, azul marino)","2","Raramente","3","El precio","Me gusta que las camisetas sean de materiales suaves."
"Frecuentemente","Camiseta con estampados gráficos","4","Regular fit","$10 - $20","Colores claros (blanco, beige, pasteles)","4","Frecuentemente","5","El diseño","No."
"Raramente","Camiseta básica (un solo color, sin estampados)","3","Slim fit","Menos de $10","Colores neutros (gris, negro, azul marino)","3","Raramente","3","El precio","Prefiero que las camisetas sean de algodón."
"Ocasionalmente","Camiseta con diseños minimalistas","5","Oversized","$20 - $30","Colores brillantes (amarillo, naranja, verde)","5","Ocasionalmente","4","La calidad del material","Las camisetas deben ser duraderas."
"Frecuentemente","Camiseta con mensajes o frases","4","Crop top","$10 - $20","Colores oscuros (negro, marrón)","3","Frecuentemente","4","La sostenibilidad del producto","Prefiero que sean de producción local."
"Muy frecuentemente","Camiseta básica (un solo color, sin estampados)","5","Regular fit","$20 - $30","Colores claros (blanco, beige, pasteles)","5","Muy frecuentemente","5","La calidad del material","Me gusta que las camisetas tengan protección UV."
"Raramente","Camiseta con estampados gráficos","3","Slim fit","Menos de $10","Colores neutros (gris, negro, azul marino)","2","Raramente","3","El precio","No."
"Ocasionalmente","Camiseta con diseños minimalistas","4","Oversized","$20 - $30","Colores brillantes (amarillo, naranja, verde)","4","Ocasionalmente","4","El diseño","Prefiero que no se decoloren con el tiempo."
"Frecuentemente","Camiseta con mensajes o frases","3","Crop top","$10 - $20","Colores oscuros (negro, marrón)","3","Frecuentemente","4","El precio","No."
"Frecuentemente","Camiseta con estampados gráficos","5","Regular fit","$20 - $30","Colores brillantes (amarillo, naranja, verde)","5","Frecuentemente","5","El diseño","Me gustan los diseños que sean únicos."
"Ocasionalmente","Camiseta básica (un solo color, sin estampados)","2","Slim fit","$10 - $20","Colores neutros (gris, negro, azul marino)","2","Raramente","3","El precio","Me gusta que las camisetas sean de materiales suaves."
"Frecuentemente","Camiseta con estampados gráficos","4","Regular fit","$10 - $20","Colores claros (blanco, beige, pasteles)","4","Frecuentemente","5","El diseño","No."
"Raramente","Camiseta básica (un solo color, sin estampados)","3","Slim fit","Menos de $10","Colores neutros (gris, negro, azul marino)","3","Raramente","3","El precio","Prefiero que las camisetas sean de algodón."
"Ocasionalmente","Camiseta con diseños minimalistas","5","Oversized","$20 - $30","Colores brillantes (amarillo, naranja, verde)","5","Ocasionalmente","4","La calidad del material","Las camisetas deben ser duraderas."
"Frecuentemente","Camiseta con mensajes o frases","4","Crop top","$10 - $20","Colores oscuros (negro, marrón)","3","Frecuentemente","4","La sostenibilidad del producto","Prefiero que sean de producción local."
"Muy frecuentemente","Camiseta básica (un solo color, sin estampados)","5","Regular fit","$20 - $30","Colores claros (blanco, beige, pasteles)","5","Muy frecuentemente","5","La calidad del material","Me gusta que las camisetas tengan protección UV."
"Raramente","Camiseta con estampados gráficos","3","Slim fit","Menos de $10","Colores neutros (gris, negro, azul marino)","2","Raramente","3","El precio","No."
"Ocasionalmente","Camiseta con diseños minimalistas","4","Oversized","$20 - $30","Colores brillantes (amarillo, naranja, verde)","4","Ocasionalmente","4","El diseño","Prefiero que no se decoloren con el tiempo."
"Frecuentemente","Camiseta con mensajes o frases","3","Crop top","$10 - $20","Colores oscuros (negro, marrón)","3","Frecuentemente","4","El precio","No."
"Frecuentemente","Camiseta con estampados gráficos","5","Regular fit","$20 - $30","Colores brillantes (amarillo, naranja, verde)","5","Frecuentemente","5","El diseño","Me gustan los diseños que sean únicos."
"Ocasionalmente","Camiseta básica (un solo color, sin estampados)","2","Slim fit","$10 - $20","Colores neutros (gris, negro, azul marino)","2","Raramente","3","El precio","Me gusta que las camisetas sean de materiales suaves."
"Frecuentemente","Camiseta con estampados gráficos","4","Regular fit","$10 - $20","Colores claros (blanco, beige, pasteles)","4","Frecuentemente","5","El diseño","No."
"Raramente","Camiseta básica (un solo color, sin estampados)","3","Slim fit","Menos de $10","Colores neutros (gris, negro, azul marino)","3","Raramente","3","El precio","Prefiero que las camisetas sean de algodón."
"Ocasionalmente","Camiseta con diseños minimalistas","5","Oversized","$20 - $30","Colores brillantes (amarillo, naranja, verde)","5","Ocasionalmente","4","La calidad del material","Las camisetas deben ser duraderas."
"Frecuentemente","Camiseta con mensajes o frases","4","Crop top","$10 - $20","Colores oscuros (negro, marrón)","3","Frecuentemente","4","La sostenibilidad del producto","Prefiero que sean de producción local."
"Muy frecuentemente","Camiseta básica (un solo color, sin estampados)","5","Regular fit","$20 - $30","Colores claros (blanco, beige, pasteles)","5","Muy frecuentemente","5","La calidad del material","Me gusta que las camisetas tengan protección UV."
"Raramente","Camiseta con estampados gráficos","3","Slim fit","Menos de $10","Colores neutros (gris, negro, azul marino)","2","Raramente","3","El precio","No."
"Ocasionalmente","Camiseta con diseños minimalistas","4","Oversized","$20 - $30","Colores brillantes (amarillo, naranja, verde)","4","Ocasionalmente","4","El diseño","Prefiero que no se decoloren con el tiempo."
"Frecuentemente","Camiseta con mensajes o frases","3","Crop top","$10 - $20","Colores oscuros (negro, marrón)","3","Frecuentemente","4","El precio","No."
"Frecuentemente","Camiseta con estampados gráficos","5","Regular fit","$20 - $30","Colores brillantes (amarillo, naranja, verde)","5","Frecuentemente","5","El diseño","Me gustan los diseños que sean únicos."
"Ocasionalmente","Camiseta básica (un solo color, sin estampados)","2","Slim fit","$10 - $20","Colores neutros (gris, negro, azul marino)","2","Raramente","3","El precio","Me gusta que las camisetas sean de materiales suaves."
"Frecuentemente","Camiseta con estampados gráficos","4","Regular fit","$10 - $20","Colores claros (blanco, beige, pasteles)","4","Frecuentemente","5","El diseño","No."
"Raramente","Camiseta básica (un solo color, sin estampados)","3","Slim fit","Menos de $10","Colores neutros (gris, negro, azul marino)","3","Raramente","3","El precio","Prefiero que las camisetas sean de algodón."
"Ocasionalmente","Camiseta con diseños minimalistas","5","Oversized","$20 - $30","Colores brillantes (amarillo, naranja, verde)","5","Ocasionalmente","4","La calidad del material","Las camisetas deben ser duraderas."
"Frecuentemente","Camiseta con mensajes o frases","4","Crop top","$10 - $20","Colores oscuros (negro, marrón)","3","Frecuentemente","4","La sostenibilidad del producto","Prefiero que sean de producción local."
"Muy frecuentemente","Camiseta básica (un solo color, sin estampados)","5","Regular fit","$20 - $30","Colores claros (blanco, beige, pasteles)","5","Muy frecuentemente","5","La calidad del material","Me gusta que las camisetas tengan protección UV."
"Raramente","Camiseta con estampados gráficos","3","Slim fit","Menos de $10","Colores neutros (gris, negro, azul marino)","2","Raramente","3","El precio","No."
"Ocasionalmente","Camiseta con diseños minimalistas","4","Oversized","$20 - $30","Colores brillantes (amarillo, naranja, verde)","4","Ocasionalmente","4","El diseño","Prefiero que no se decoloren con el tiempo."
"Frecuentemente","Camiseta con mensajes o frases","3","Crop top","$10 - $20","Colores oscuros (negro, marrón)","3","Frecuentemente","4","El precio","No."
"Frecuentemente","Camiseta con estampados gráficos","5","Regular fit","$20 - $30","Colores brillantes (amarillo, naranja, verde)","5","Frecuentemente","5","El diseño","Me gustan los diseños que sean únicos."
"Ocasionalmente","Camiseta básica (un solo color, sin estampados)","2","Slim fit","$10 - $20","Colores neutros (gris, negro, azul marino)","2","Raramente","3","El precio","Me gusta que las camisetas sean de materiales suaves."
"Frecuentemente","Camiseta con estampados gráficos","4","Regular fit","$10 - $20","Colores claros (blanco, beige, pasteles)","4","Frecuentemente","5","El diseño","No."
"Raramente","Camiseta básica (un solo color, sin estampados)","3","Slim fit","Menos de $10","Colores neutros (gris, negro, azul marino)","3","Raramente","3","El precio","Prefiero que las camisetas sean de algodón."
"Ocasionalmente","Camiseta con diseños minimalistas","5","Oversized","$20 - $30","Colores brillantes (amarillo, naranja, verde)","5","Ocasionalmente","4","La calidad del material","Las camisetas deben ser duraderas."
"Frecuentemente","Camiseta con mensajes o frases","4","Crop top","$10 - $20","Colores oscuros (negro, marrón)","3","Frecuentemente","4","La sostenibilidad del producto","Prefiero que sean de producción local."
"Muy frecuentemente","Camiseta básica (un solo color, sin estampados)","5","Regular fit","$20 - $30","Colores claros (blanco, beige, pasteles)","5","Muy frecuentemente","5","La calidad del material","Me gusta que las camisetas tengan protección UV."
"Raramente","Camiseta con estampados gráficos","3","Slim fit","Menos de $10","Colores neutros (gris, negro, azul marino)","2","Raramente","3","El precio","No."
