Frecuencia,Tipo_piel,Producto_frecuente,Gasto_mensual,Formato_preferido,Recomendacion,Tiempo_maquillaje,Cruelty_free,Rango_edad
3 a 5 veces por semana,Normal,"Sombra de ojos","Entre 31 C$ y 60 C$","En spray","Amigos o familiares","Entre 31 y 60 minutos","A veces","18 – 24 años"
1 a 2 veces por semana,Sensible,"Labial / gloss","Entre 61 C$ y 100 C$",Líquido / crema,"Influencers / tutoriales en redes sociales","Más de 60 minutos","Rara vez","25 – 34 años"
Solo en ocasiones especiales,Grasa,"Ninguno de los anteriores","Más de 100 C$","En polvo","Dependientas de tiendas de belleza","Menos de 5 minutos","No me importa / no lo verifico","35 – 44 años"
Nunca,Seca,"Base o BB cream","Menos de 10 C$","En barra","Opiniones en sitios web o foros","Entre 5 y 15 minutos","Sí, siempre","45 años o más"
Todos los días,Mixta,Corrector,"Entre 10 C$ y 30 C$",En lápiz,"Solo por tu propia prueba o intuición","Entre 16 y 30 minutos","La mayoría de las veces","15 – 17 años"
3 a 5 veces por semana,Normal,"Polvos / polvo compacto","Entre 31 C$ y 60 C$","En spray","Amigos o familiares","Entre 31 y 60 minutos","A veces","18 – 24 años"
1 a 2 veces por semana,Sensible,Rubor / colorete,"Entre 61 C$ y 100 C$",Líquido / crema,"Influencers / tutoriales en redes sociales","Más de 60 minutos","Rara vez","25 – 34 años"
Solo en ocasiones especiales,Grasa,"Máscara de pestañas","Más de 100 C$","En polvo","Dependientas de tiendas de belleza","Menos de 5 minutos","No me importa / no lo verifico","35 – 44 años"
Nunca,Seca,Delineador,"Menos de 10 C$","En barra","Opiniones en sitios web o foros","Entre 5 y 15 minutos","Sí, siempre","45 años o más"
Todos los días,Mixta,"Sombra de ojos","Entre 10 C$ y 30 C$",En lápiz,"Solo por tu propia prueba o intuición","Entre 16 y 30 minutos","La mayoría de las veces","15 – 17 años"
3 a 5 veces por semana,Normal,"Labial / gloss","Entre 31 C$ y 60 C$","En spray","Amigos o familiares","Entre 31 y 60 minutos","A veces","18 – 24 años"
1 a 2 veces por semana,Sensible,"Ninguno de los anteriores","Entre 61 C$ y 100 C$",Líquido / crema,"Influencers / tutoriales en redes sociales","Más de 60 minutos","Rara vez","25 – 34 años"
Solo en ocasiones especiales,Grasa,"Base o BB cream","Más de 100 C$","En polvo","Dependientas de tiendas de belleza","Menos de 5 minutos","No me importa / no lo verifico","35 – 44 años"
Nunca,Seca,Corrector,"Menos de 10 C$","En barra","Opiniones en sitios web o foros","Entre 5 y 15 minutos","Sí, siempre","45 años o más"
Todos los días,Mixta,"Polvos / polvo compacto","Entre 10 C$ y 30 C$",En lápiz,"Solo por tu propia prueba o intuición","Entre 16 y 30 minutos","La mayoría de las veces","15 – 17 años"
3 a 5 veces por semana,Normal,Rubor / colorete,"Entre 31 C$ y 60 C$","En spray","Amigos o familiares","Entre 31 y 60 minutos","A veces","18 – 24 años"
1 a 2 veces por semana,Sensible,"Máscara de pestañas","Entre 61 C$ y 100 C$",Líquido / crema,"Influencers / tutoriales en redes sociales","Más de 60 minutos","Rara vez","25 – 34 años"
Solo en ocasiones especiales,Grasa,Delineador,"Más de 100 C$","En polvo","Dependientas de tiendas de belleza","Menos de 5 minutos","No me importa / no lo verifico","35 – 44 años"
Nunca,Seca,"Sombra de ojos","Menos de 10 C$","En barra","Opiniones en sitios web o foros","Entre 5 y 15 minutos","Sí, siempre","45 años o más"
Todos los días,Mixta,"Labial / gloss","Entre 10 C$ y 30 C$",En lápiz,"Solo por tu propia prueba o intuición","Entre 16 y 30 minutos","La mayoría de las veces","15 – 17 años"
3 a 5 veces por semana,Normal,"Ninguno de los anteriores","Entre 31 C$ y 60 C$","En spray","Amigos o familiares","Entre 31 y 60 minutos","A veces","18 – 24 años"
1 a 2 veces por semana,Sensible,"Base o BB cream","Entre 61 C$ y 100 C$",Líquido / crema,"Influencers / tutoriales en redes sociales","Más de 60 minutos","Rara vez","25 – 34 años"
Solo en ocasiones especiales,Grasa,Corrector,"Más de 100 C$","En polvo","Dependientas de tiendas de belleza","Menos de 5 minutos","No me importa / no lo verifico","35 – 44 años"
Nunca,Seca,"Polvos / polvo compacto","Menos de 10 C$","En barra","Opiniones en sitios web o foros","Entre 5 y 15 minutos","Sí, siempre","45 años o más"
Todos los días,Mixta,Rubor / colorete,"Entre 10 C$ y 30 C$",En lápiz,"Solo por tu propia prueba o intuición","Entre 16 y 30 minutos","La mayoría de las veces","15 – 17 años"
3 a 5 veces por semana,Normal,"Máscara de pestañas","Entre 31 C$ y 60 C$","En spray","Amigos o familiares","Entre 31 y 60 minutos","A veces","18 – 24 años"
1 a 2 veces por semana,Sensible,Delineador,"Entre 61 C$ y 100 C$",Líquido / crema,"Influencers / tutoriales en redes sociales","Más de 60 minutos","Rara vez","25 – 34 años"
Solo en ocasiones especiales,Grasa,"Sombra de ojos","Más de 100 C$","En polvo","Dependientas de tiendas de belleza","Menos de 5 minutos","No me importa / no lo verifico","35 – 44 años"
Nunca,Seca,"Labial / gloss","Menos de 10 C$","En barra","Opiniones en sitios web o foros","Entre 5 y 15 minutos","Sí, siempre","45 años o más"
Todos los días,Mixta,"Ninguno de los anteriores","Entre 10 C$ y 30 C$",En lápiz,"Solo por tu propia prueba o intuición","Entre 16 y 30 minutos","La mayoría de las veces","15 – 17 años"
3 a 5 veces por semana,Normal,"Base o BB cream","Entre 31 C$ y 60 C$","En spray","Amigos o familiares","Entre 31 y 60 minutos","A veces","18 – 24 años"
1 a 2 veces por semana,Sensible,Corrector,"Entre 61 C$ y 100 C$",Líquido / crema,"Influencers / tutoriales en redes sociales","Más de 60 minutos","Rara vez","25 – 34 años"
Solo en ocasiones especiales,Grasa,"Polvos / polvo compacto","Más de 100 C$","En polvo","Dependientas de tiendas de belleza","Menos de 5 minutos","No me importa / no lo verifico","35 – 44 años"
Nunca,Seca,Rubor / colorete,"Menos de 10 C$","En barra","Opiniones en sitios web o foros","Entre 5 y 15 minutos","Sí, siempre","45 años o más"
Todos los días,Mixta,"Máscara de pestañas","Entre 10 C$ y 30 C$",En lápiz,"Solo por tu propia prueba o intuición","Entre 16 y 30 minutos","La mayoría de las veces","15 – 17 años"
3 a 5 veces por semana,Normal,Delineador,"Entre 31 C$ y 60 C$","En spray","Amigos o familiares","Entre 31 y 60 minutos","A veces","18 – 24 años"
1 a 2 veces por semana,Sensible,"Sombra de ojos","Entre 61 C$ y 100 C$",Líquido / crema,"Influencers / tutoriales en redes sociales","Más de 60 minutos","Rara vez","25 – 34 años"
Solo en ocasiones especiales,Grasa,"Labial / gloss","Más de 100 C$","En polvo","Dependientas de tiendas de belleza","Menos de 5 minutos","No me importa / no lo verifico","35 – 44 años"
Nunca,Seca,"Ninguno de los anteriores","Menos de 10 C$","En barra","Opiniones en sitios web o foros","Entre 5 y 15 minutos","Sí, siempre","45 años o más"
